,stock,broodyear,spawners,recruits,R3,R4,R5,R6,R7
539,Damdochax,2008,3882,11669,0,4517,6184,968,0
540,Damdochax,2009,3890,18677,0,3298,14513,865,0
541,Damdochax,2010,5251,21102,0,7740,12982,379,0
542,Damdochax,2011,7632,12896,0,6924,5692,280,0
543,Damdochax,2012,8775,7941,0,3036,4201,704,0
544,Damdochax,2013,5925,13216,0,2241,10563,412,0
545,Damdochax,2014,16528,12325,0,5634,6177,514,0
546,Damdochax,2015,12298,11699,0,3294,7716,688,0
547,Damdochax,2016,6738,15941,0,4115,10322,1503,0
548,Damdochax,2017,5997,29059,0,5505,22549,1005,0
549,Damdochax,2018,14987,28536,0,12026,15070,1440,NA
563,Fulton,1960,44721,274243,55043,116219,102981,0,0
564,Fulton,1961,218146,299730,16787,213440,69504,0,0
565,Fulton,1962,99536,347664,23451,77971,246242,0,0
566,Fulton,1963,177106,580395,28930,254908,296556,0,0
567,Fulton,1964,186458,135862,8667,46393,80802,0,0
568,Fulton,1965,176199,256119,13918,118043,124158,0,0
569,Fulton,1966,58581,544701,27084,253088,264528,0,0
570,Fulton,1967,135976,774549,45325,393798,335426,0,0
571,Fulton,1968,125287,475019,18963,114402,341653,0,0
572,Fulton,1969,105359,779204,69952,372543,336709,0,0
573,Fulton,1970,195558,431424,67218,171978,192228,0,0
574,Fulton,1971,282801,1087507,53040,594868,439599,0,0
575,Fulton,1972,209478,1091124,72489,260616,758019,0,0
576,Fulton,1973,237309,1203903,122213,662957,418733,0,0
577,Fulton,1974,139211,300917,27986,127735,145195,0,0
578,Fulton,1975,368434,1628856,143665,1157403,327788,0,0
579,Fulton,1976,288071,348593,41923,86362,220307,0,0
580,Fulton,1977,502031,3519633,69988,1702179,1747467,0,0
581,Fulton,1978,143303,1016317,83107,357535,575674,0,0
582,Fulton,1979,416887,704745,34832,338999,330914,0,0
583,Fulton,1980,121208,2086986,164120,611159,1311708,0,0
584,Fulton,1981,441066,1122027,51505,682360,388162,0,0
585,Fulton,1982,319421,490611,25299,212874,252437,0,0
586,Fulton,1983,314944,800926,29707,194763,576456,0,0
587,Fulton,1984,266911,2514619,122923,1413400,978296,0,0
588,Fulton,1985,301691,1456185,40243,526009,889933,0,0
589,Fulton,1986,165482,905089,73124,448105,383861,0,0
590,Fulton,1987,150463,658257,47371,140718,470168,0,0
591,Fulton,1988,322950,1322825,63237,400609,858980,0,0
592,Fulton,1989,328463,1575185,64064,474891,1036230,0,0
593,Fulton,1990,331533,1771018,27682,362864,1380471,0,0
594,Fulton,1991,104023,3657456,177931,1494409,1985116,0,0
595,Fulton,1992,318210,4629231,302398,2684691,1642141,0,0
596,Fulton,1993,260339,935988,29013,518350,388624,0,0
597,Fulton,1994,428141,56149,4035,27340,24774,0,0
598,Fulton,1995,393980,617684,21750,205128,390805,0,0
599,Fulton,1996,372337,5649392,46622,3229651,2373119,0,0
600,Fulton,1997,320216,540671,13475,201799,325397,0,0
601,Fulton,1998,157127,1178525,45976,355738,776810,0,0
602,Fulton,1999,203004,425574,9682,253093,162798,0,0
603,Fulton,2000,586508,818737,67752,558166,192819,0,0
604,Fulton,2001,400411,781043,8584,244086,528372,0,0
605,Fulton,2002,290370,2705222,63599,1521713,1119910,0,0
606,Fulton,2003,460680,368896,21211,73327,274358,0,0
607,Fulton,2004,445304,1384324,27408,1020752,336164,0,0
608,Fulton,2005,327460,301456,12748,99732,188976,0,0
609,Fulton,2006,461925,864606,12036,259842,592729,0,0
610,Fulton,2007,458006,1521523,57578,519212,944733,0,0
611,Fulton,2008,357801,267519,19130,170735,77654,0,0
612,Fulton,2009,317178,477998,2709,75966,399323,0,0
613,Fulton,2010,321952,3184894,113843,2209588,861463,0,0
614,Fulton,2011,347869,1674751,134572,771408,768771,0,0
615,Fulton,2012,337324,764521,17288,197911,549321,0,0
616,Fulton,2013,220714,83176,3184,21519,58474,0,0
617,Fulton,2014,425300,1611064,27906,1110890,279648,192620,3438
618,Fulton,2015,435159,603544,8542,62921,514889,17192,0
619,Fulton,2016,464118,1024243,27245,414875,519191,62931,0
620,Fulton,2017,372530,1848557,12461,474493,1361603,0,NA
640,Kitsumkalum,1960,840,4062,205,1329,2528,0,0
641,Kitsumkalum,1961,2241,4357,209,2278,1870,0,0
642,Kitsumkalum,1962,2241,5999,358,1685,3956,0,0
643,Kitsumkalum,1963,2024,5840,265,3564,2010,0,0
644,Kitsumkalum,1964,1518,4429,561,1811,2057,0,0
645,Kitsumkalum,1965,2987,3777,285,1853,1639,0,0
646,Kitsumkalum,1966,1587,4006,291,1477,2238,0,0
647,Kitsumkalum,1967,2894,8757,232,2016,6509,0,0
648,Kitsumkalum,1968,1774,13624,317,5865,7442,0,0
649,Kitsumkalum,1969,2241,16049,922,6706,8420,0,0
